question,answer
Why are adenovirus vectors most attractive?,their genome is very stable and there are a variety of recombinant systems available which can accommodate up to 10 kb of recombinant genetic material 
What is the advantage of  the adenovirus ?,"is a non-enveloped virus which is relatively stable and can be formulated for long-term storage at 4 °C, or even storage up to six months at room temperature "
What is the advantage of adenovirus vector?,"Adenovirus vaccines can be grown to high titers, exceeding 10 1° plaque forming units (PFU) per mL when cultured on 293 or PER.C6 cells "
What is the advantage of adenovirus?,the virus can be purified by simple methods 
What is the advantage of adenovirus vaccines?," Adenovirus vaccines can also be delivered via multiple routes, including intramuscular injection, subcutaneous injection, intradermal injection, oral delivery using a protective capsule, and by intranasal delivery."
What is the advantage of oral capsule and intranasal deliveries?,induce robust mucosal immune responses and may bypass preexisting vector immunity 
What  did the first report on adenovirus as a vector demonstrate?,"immunogenicity of recombinant adenovirus 5 (rAd5) expressing the HA of a swine influenza virus, A/Swine/Iowa/1999 (H3N2)"
Which rAd5 delivery has been tested?,A rAd5-HA expressing the HA from A/Puerto Rico/8/1934 (H1N1; PR8) was delivered to humans epicutaneously or intranasally 
What was the result of the rAd5-HA testing?,The vaccine was well tolerated and induced seroconversion with the intranasal administration had a higher conversion rate and higher geometric meant HI titers 
What is  the result of rAd5 trials?,"clinical trials with rAd vectors have overall been successful, demonstrating safety and some level of efficacy,"
What is an example of failure of rAd5?, a gene therapy examination where high-dose intravenous delivery of an Ad vector resulted in the death of an 18-year-old male
What was the failure of rAd5 vaccine for inducing HIV-1 specific T cell response?,the study was stopped after interim analysis suggested the vaccine did not achieve efficacy and individuals with high preexisting Ad5 antibody titers might have an increased risk of acquiring HIV-1 
What does immunization with adenovirus induce?,potent cellular and humoral immune responses that are initiated through toll-like receptor-dependent and independent pathways which induce robust pro-inflammatory cytokine responses
What is the advantage of inclusion of non-HA antigens to HA based vaccines?, to improve immunogenicity and broaden breadth of both humoral and cellular immunity
What is the disadvantage of inclusion of non-HA  antigens to HA based vaccines?,"as both CD8 + T cell and neutralizing antibody responses are generated by the vector and vaccine antigens, immunological memory to these components can reduce efficacy and limit repeated use "
What  was the first reported baculovirus vector based vaccine for influenza?, using Autographa californica nuclear polyhedrosis virus (AcNPV) expressing the HA of PR8 under control of the CAG promoter (AcCAG-HA) 
What is a drawback of Ad5 vector?,"preexisting immunity,"
What alternatives to Ad5 vector have been explored?,"adenovirus serotypes have been explored as vectors, particularly non-human and uncommon human serotypes"
What animal adenoviruses have been shown to induce immunity comparable to rdA5-HA?,"Swine, NHP and bovine adenoviruses expressing H5 HA antigens "
what can evade anti-Ad5 response and also provide effective antigen delivery and immunogenicity?," Low prevalence serotypes such as adenovirus types 3, 7, 11, and 35"
What additional strategies have been explored to avoid preexisting immunity?,"Prime-boost strategies, using DNA or protein immunization in conjunction with an adenovirus vaccine booster immunization"
What is the advantage of AAV vector?,"Like rAd vectors, rAAV have broad tropism infecting a variety of hosts, tissues, and proliferating and non-proliferating cell types "
What is the advantage of the AAV vector?, The wild type viruses are non-pathogenic and replication incompetent in humans and the recombinant AAV vector systems are even further attenuated 
What is the advantage of AAV vector?,"As members of the parvovirus family, AAVs are small non-enveloped viruses that are stable and amenable to long-term storage without a cold chain."
What is the advantage of AAV vector?,"While there is limited preexisting immunity, availability of non-human strains as vaccine candidates eliminates these concerns."
Has AAV been studied as  vectors for influenza?,There are limited studies 
What are alphaviruses?,"positive-sense, single-stranded RNA viruses of the Togaviridae family"
What are some alphavirus vectors that have been developed?,"Semliki Forest virus (SFV), Sindbis (SIN) virus, Venezuelan equine encephalitis (VEE) virus, as well as chimeric viruses incorporating portions of SIN and VEE viruses"
How do the alphavirus vectors work?," The replication defective vaccines or replicons do not encode viral structural proteins, having these portions of the genome replaces with transgenic material."
How do the alphavirus vectors work?,The structural proteins are provided in cell culture production systems.
What is an important feature of the replicon  system?,"the self-replicating nature of the RNA. Despite the partial viral genome, the RNAs are self-replicating and can express transgenes at very high levels"
How did the VEE based replicon system incorporating HA from PR8perform?,"demonstrated to induce potent HA-specific immune response and protected from challenge in a murine model, despite repeated immunization with the vector expressing a control antigen, suggesting preexisting immunity may not be an issue for the replicon vaccine"
Why is the VEE replicon system particularly appealing?,"the VEE targets antigen-presenting cells in the lymphatic tissues, priming rapid and robust immune responses"
What is the advantage of the VEE replicon system?,"VEE replicon systems can induce robust mucosal immune responses through intranasal or subcutaneous immunization [72] [73] [74] , and subcutaneous immunization with virus-like replicon particles (VRP) expressing HA-induced antigen-specific systemic IgG and fecal IgA antibodies "
What were the VRPs derived from VEE developed for?,as candidate vaccines for cytomegalovirus (CMV)
What did the clinical  trial with CMV VRP show?,"vaccine was immunogenic, inducing CMV-neutralizing antibody responses and potent T cell responses. Moreover, the vaccine was well tolerated and considered safe "
What did the clinical trial with VRP show?,"vaccine was safe and despite high vector-specific immunity after initial immunization, continued to boost transgene-specific immune responses upon boost "
"Which  baculovirus vaccine has been approved for 
 human use?",baculovirus-derived recombinant HA vaccine was approved for human use and was first available for use in the United States for the 2013-2014 influenza season
What  is the advantage of baculoviruses?,readily manipulated
What is the advantage of baculovirus vectors?,"The vectors can accommodate large gene insertions, show limited cytopathic effect in mammalian cells, and have been shown to infect and express genes of interest in a spectrum of mammalian cells"
How can baculovirus vectors be improved?,"While the insect promoters are not effective for mammalian gene expression, appropriate promoters can be cloned into the baculovirus vaccine vectors."
what baculovirus vector based immunization provided protection from lethal challenge?,only intranasal immunization
What was the benefit of the robust innate immune response to baculovirus vector?, non-specific protection from subsequent influenza virus infection
What is the Newcastle disease virus?,"a single-stranded, negative-sense RNA virus that causes disease in poultry. "
What are the appealing qualities of the NDV vector?,"As an avian virus, there is little or no preexisting immunity to NDV in humans and NDV propagates to high titers in both chicken eggs and cell culture. "
What is the appealing quality of the NDV vector?,"As a paramyxovirus, there is no DNA phase in the virus lifecycle reducing concerns of integration events, and the levels of gene expression are driven by the proximity to the leader sequence at the 3' end of the viral genome. This gradient of gene expression enables attenuation through rearrangement of the genome, or by insertion of transgenes within the genome."
What is the appealing quality of the NDV vector?,pathogenicity of NDV is largely determined by features of the fusion protein enabling ready attenuation of the vaccine vector
What did the first report on the NDV vector test conclude?,it induced a robust serum antibody response and protected against homologous influenza virus challenge in a murine model of infection 
What is the added protection of NDV vector?,providing protection against both the influenza virus and NDV infection.
What have the limited NDV human trails shown?,"the NDV vector is well-tolerated, even at high doses delivered intravenously "
What  are the attractive features of the PIV5 vector?," PIV5 has a stable RNA genome and no DNA phase in virus replication cycle reducing concerns of host genome integration or modification. PIV5 can be grown to very high titers in mammalian vaccine cell culture substrates and is not cytopathic allowing for extended culture and harvest of vaccine virus [98, 99] . Like NDV, PIV5 has a 3'-to 5' gradient of gene expression and insertion of transgenes at different locations in the genome can variably attenuate the virus and alter transgene expression [100] . PIV5 has broad tropism, infecting many cell types, tissues, and species without causing clinical disease, although PIV5 has been associated with -kennel cough‖ in dogs"
What  was the result of the test of efficacy of PIV5 in murine challenge?,"Mice intranasally vaccinated with a single dose of PIV5-H5 vaccine had robust serum and mucosal antibody responses, and were protected from lethal challenge. Notably, although cellular immune responses appeared to contribute to protection, serum antibody was sufficient for protection from challenge"
What opportunity has the termination of smallpox vaccination provided?,has resulted in a large population of poxvirus-naï ve individuals that provides the opportunity for the use of poxviruses as vectors without preexisting immunity concerns 
What vaccinia vectors were created to address safety concerns?,"The modified vaccinia virus Ankara (MVA) strain was attenuated by passage 530 times in chick embryo fibroblasts cultures. The second, New York vaccinia virus (NYVAC) was a plaque-purified clone of the Copenhagen vaccine strain rationally attenuated by deletion of 18 open reading frames"
How safe is MVA?,"MVA has undergone extensive safety testing and shown to be attenuated in severely immunocompromised animals and safe for use in children, adults, elderly, and immunocompromised persons. With extensive pre-clinical data, recombinant MVA vaccines expressing influenza antigens have been tested in clinical trials and been shown to be safe and immunogenic in humans "
What is the status of MVA influenza vaccine?,results combined with data from other (non-influenza) clinical and pre-clinical studies support MVA as a leading viral-vectored candidate vaccine.
What  is NYVAC?,The NYVAC vector is a highly attenuated vaccinia virus strain. NYVAC is replication-restricted
How is NYVAC grown?,"in chick embryo fibroblasts and Vero cells enabling vaccine-scale production. In non-permissive cells, critical late structural proteins are not produced stopping replication at the immature virion stage "
How safe is NYVAC?, NYVAC is very attenuated and considered safe for use in humans of all ages
What would limit the use of poxvirus vectored vaccines?,current influenza vaccination strategies rely upon regular immunization with vaccines matched to circulating strains
what is the advantage of the NYVAC as an influenza virus?,"immunization with this vector induces weaker vaccine-specific immune responses compared to other poxvirus vaccines, a feature that may address the concerns surrounding preexisting immunity "
Where is poxvirus vaccine being used?," licensed poxvirus for veterinary use that include fowlpox-and canarypox-vectored vaccines for avian and equine influenza viruses, respectively "
What have the studies on NP shown for the protection against influenza challege?," immunization with NP expressed by AAV, rAd5, alphavirus vectors, MVA, or other vector systems induces potent CD8 + T cell responses "
What is the goal of vaccine?,"protect against infection and disease, while inducing population-based immunity to reduce or eliminate virus transmission within the population"
What has enabled the development of one size fits all vaccine?," recent ability to probe the virus-host interface through RNA interference approaches that facilitate the identification of host genes affecting virus replication, immunity, and disease."
Why is a revision of current vaccines is needed?,"strategies for at-risk populations, particularly those at either end of the age spectrum"
What is an example of an improved vaccine regime?,"a vectored influenza virus vaccine that expresses the HA, NA and M and/or NP proteins for the two currently circulating influenza A subtypes and both influenza B strains so that vaccine take and vaccine antigen levels are not an issue in inducing protective immunity"
What can provide an improved vaccine regime?,Recombinant live-attenuated or replication-deficient influenza viruses
What features can be created for creating vectored vaccines?,"full-length influenza virus proteins, as well as generate conformationally restricted epitopes, features critical in generating appropriate humoral protection."
How can sustained immunity be generated?,"induce immunity at sites of inductive immunity to natural infection, in this case the respiratory tract"
What is the advantage of vectored vaccines?,"generate antigen for weeks after immunization, in contrast to subunit vaccination. This increased presence and level of vaccine antigen contributes to and helps sustain a durable memory immune response, even augmenting the selection of higher affinity antibody secreting cells"
What  is the enhanced memory immune response linked to?,intrinsic augmentation of immunity induced by the vector.
What cellular process is the Tat protein essential to?,HIV-1 replication
Where does the Tat protein move to in cells?,nucleoplasm and the nucleolus
What is a nucleolus?,a highly dynamic and structured membrane-less sub-nuclear compartment
Where are rRNA and ribosomes created?,nucleolus
How many proteins were shown to change the amount of Jurkat T-cell nucleolus significantly?,49
What cellular processes occur in the nucleolus?,"RNA-polymerase-I-directed rDNA transcription, rRNA processing mediated by small nucleolar ribonucleoproteins (soRNPs) and ribosome assembly"
Which viruses target the nucleolus as part of their replication strategy?,"HIV-1, hCMV, HSV and KSHV"
What nucleolar antigen is essential of localization of Tat and Rev proteins?,B23
What was studied in this report?,systematically analysed the nucleolar proteome perturbations occurring in Jurkat T-cells
What was studied in this report?,"the quantitative changes in the nucleolar proteome of Jurkat T cells constitutively expressing HIV-1 Tat (86aa) versus their Tat-negative counterpart,"
Which isotope labeled arginine?,light (R0K0)
Which isotope labeled lysine?,heavy (R6K6)
How many cells were harvested from each culture?,85 million
How long is the nuclear protein PARP-1?,113 kDa
How long is the protein Alpha-tubulin?,50 kDa
Where was alpha-tubulin found most abundantly in the cell?,cytoplasmic
Where was alpha-tubulin found least abundantly in the cell?,nuclear
What is shown in Table S1?,The fully annotated list of the quantified nucleolar proteins
What types of cells are used to study Tat-mediated pathogenesis?,Jurkat T-cells
How many proteins displayed a significant fold change?,49
What is the significance of this study?,the first proteomic analysis of dynamic composition of the nucleolus in response to HIV-1 Tat expression
How are Mammarenaviruses spread from rodents to humans?,mucosal exposure to aerosols or by direct contact of abraded skin with infectious material
What are the main groups for Mammarenaviruses?,Old World (OW) and New World (NW)
What is the cause of Lassa fever?,OW Lassa virus (LASV)
"What type of vaccine is JUNV, Candid#1?",live attenuated
Why was the human A549 cell line chosen for this study?,lung epithelial cells are one of the initial cell targets of humans following inhalation of mammarenavirions
For how long were the cells infected before analysis?,48 h
What drug is used to treat congestive heart failure?,ouabain
What does ouabain inhibit?,ATP1A1
What method can significantly alleviate the emergence of drug-resistant variants in RNA viral infections?,Combination therapy
What factors did this study attribute to the efficient multiplication of mammarenaviruses?,ATP1A1 and PHB
How do the authors suggest that ATP1A1 and PHB contribute to the efficient multiplication of mammarenaviruses?,using genetics and pharmacological inhibition of the genes
Which are the most abundant biological entities on Earth?,Viruses 
What contributed to a large part of mammalian genomic sequence?,Retroviruses 
What were the earliest replicating entities that fulfill several criteria for life?,ribozymes or viroids
What are some examples of autonomous bacteria that lost their independence and became intracellular  parasites or endosymbionts?,"mitochondria, chloroplasts, Rickettsia "
What entities with no genes satisfy the criteria for life?,"ribozymes, catalytic RNAs closely related to viroids"
Which group of RNA quasispecies satisfy criteria for life?," catalytically active members, enzymatically active ribozymes. The sequence space for 220-mer RNAs is about 3 × 10 132 ("
"How are the ribozymes able to replicate, join and create peptide bonds?"," They can polymerize progeny chemically, allow for mutations to occur and can evolve. One molecule serves as catalyst, the other one as substrate. Replication of ribozymes was demonstrated in the test tube (Lincoln and Joyce, 2009) . Ribozymes can form peptide bonds between amino acids (Zhang and Cech, 1997) . Thus, small peptides were available by ribozyme activity. "
Does RNA replication need polymerase enzymes?,Replication of RNA molecules can be performed chemically from RNA without polymerase enzymes.
How can DNA arise chemically from RNA?,"deoxyribozymes can form from ribonucleotides (Wilson and Szostak, 1999) . Thus, DNA can arise from RNA chemically, without the key protein enzyme, the reverse transcriptase."
What do ribozymes consist of?,circular single-stranded RNAs
What do ribozymes lack?,the genetic triplet code and do not encode proteins
What do ribozymes exhibit?,"structural information by hairpin-loops that form hydrogen bonds between incomplete double strands, and loops free to interact with other molecules."
What is CHIKV marked by?,"severe joint pain, contorting its victims into unusual postures "
What does Chikungunya cause?," fever disease, headache, rash, nausea, vomiting, myalgia, and arthralgia"
What is Chikungunya virus?,a mosquito-borne emerging pathogen
Is there a treatment?,"Currently, there is no vaccine or antiviral treatmen"
What conclusion is drawn in this report?,"With the threat of an emerging global pandemic, the peculiar problems associated with the more immediate and seasonal epidemics warrant the development of an effective vaccine."
What is Chikungunya virus?,a mosquito-borne pathogen listed by National Institute of Allergy and Infectious Diseases (NIAID) as a Category C Priority Pathogen that causes Chikungunya fever (CHIKF)
What is CHIKV?,an arthropod-borne virus (arbovirus
How is CHIKV propagated to  humans?,"primarily by Aedes aegypti, the infamous yellow fever propagator"
From what  language the disease gets its name?,Kimakonde vernacular language of Tanzania and Mozambique
What is the word Chikungunya mean?,'that which contorts or bends up'
What  does Chikungunya mean in Swahili?,the illness of the bended walker
How is CHIKV maintained in Africa?," in a sylvatic cycle among forest-dwelling Aedes spp. mosquitoes, wild primates, squirrels, birds, and rodents"
"What is it vectored by, in Asia?", Ae. aegypti and Ae. albopictus
How does the transmission in Asia occur?,"in an urban cycle whereby the mosquito spreads the disease from an infected human to an uninfected human, following an epidemiological pattern similar to dengue fever"
What spurred  the discovery of the new vector Ae. albopictus?,"The 2005-2006 epidemic of CHIKV in La Reunion islands in the Indian Ocean,"
In the epidemic  peak how many cases per week were there on the island?,"46,000"
What does this review detail?,the epidemiology and global expansion of CHIKV
What  dose this review describe?," its clinical features and pathogenesis and its symptoms and complications, and finally nominates a possible vaccine approach against CHIKV infection."
How many genotypes of CHIKV have been isilated?, three genotypes based on phylogenetic studies.
What are the  genotypes based on?,"the gene sequences of an Envelope protein (E1), are Asian, East/Central/ South African, and West African"
hen did Asian genotype emerge?,"between 50 and 310 y ago,"
When didthe Asian genotype diverge from African genotype?, between 100 and 840 y ago
What is the status of Asian CHIKV since its emergence?,"has come a long way, with several mutations incorporated, and has continued to wreak epidemics in several regions"
What are the recent activities of CHIKV?," the Indian epidemic in 2005-2006, which was followed by a sudden explosion of cases in 2007. An estimated 1.3 million people across 13 states were reported to be infected in India [12, 16] , and CHIKV was also widespread in Malaysia, Sri Lanka, and Indonesia [17] . In July-August of 2007, CHIKV was reported in Italy, probably brought in by travelers from CHIKV-prone regions of India, Africa, and Indian Ocean islands such as Mauritius, Madagascar, and Seychelles."
How was the Italian isolation found to have evolved from?,"from the Kerala isolate, which was associated with a A226V shift in E1 gene that represents a successful evolutionary adaptation in the mosquito vector similar to the ones observed in Reunion Island ["
How many days is the incubation period?,2-6 d
In how many days do the symptoms arise?,4-7 
What are exhibited in the two phases?,"The first stage is acute, while the second stage, experienced by most but not all, is persistent, causing disabling polyarthritis. Characteristics of the acute phase include an abrupt onset of fever, arthralgia, and in some cases, maculopapular rash [6, 23] . The acute phase causes such intense joint and muscular pain that makes movement very difficult and prostrates its victims ["
What are consequences of infection?,"Ninety-five percent of infected adults are symptomatic after infection, and of these, most become disabled for weeks to months as a result of decreased dexterity, loss of mobility, and delayed reaction."
What percentage of the patients still have the CHIKV IgM after eighteen months?,The chronic stage of CHIKF is characterized by
What is te chronic stage characterized by?, by polyarthralgia that can last from weeks to years beyond the acute stage
What is affected by CHIKV?,fibroblasts
What explains the pain associated with CHIKV?, The high number of nociceptive nerve endings found within the joints and muscle connective tissues
What percentage of people suffering from the CHIKF are over 65 years old?,50%
What percentage die?,33% 
What other group is disproportionately affected?,children
What complications are associated with CHIKV?,"from most common to least common, include respiratory failure, cardiovascular decompensation, meningoencephalitis, severe acute hepatitis, severe cutaneous effects, other central nervous system problems, and kidney failure"
What happens after  host infection?,"CHIKV undertakes a complex replication cycle upon host infection (Figure 2 ), which makes its genome susceptible to mutations "
"What did the Ae.Aegypti which is responsible for epidemics in Kenya, Comoros and Seychelles carry?",CHIKV with an alanine in the 226 position of the E1 gene (E1-A226)
"what was the result of the decline in population of Ae. Aegyptus  when the virus struck the Reunion Islands, due to massive use dichlorodiphenyltrichloroethane usage?"," in an ecological pressure, favoring replacement of alanine at position 226 with valine (E1-A226V) "
What did this mutation allow?,"CHIKV's secondary vector species, Ae. albopictus, to supplement Ae. aegypti as its primary vector"
What vectored the large epidemic in La Reunion Islands?, Ae. albopictus
What percentage of population was affected?,34% 
Where were  the CHIKV strain found?,"All of the CHIKV strains isolated from Mayotte carried the E1-A226V mutation, and the mutation was also found in Madagascar in 2007 ["
What is the finding on E1-A226V in Indian Ocean?,"mutation was not present at the beginning of the Indian Ocean Islands outbreak (before September 2005). However, more than 90% of later viral strains found there had incorporated the mutation (December-March 2006), indicating a genotype switch during the winter season"
What has the E1-A226V enabled?,an increase in infectivity of Ae. albopictus when compared to its infectivity of Ae. aegypti 
What has become the preferred and lethal vector?,Ae. albopictus
What was the finding on the Green Fluorescent tagged E1-A226V?, E1-A226V virus was 100 times more infective to Ae. albopictus than it was to Ae. aegypti
What became the main vector in the Indian Ocean within 1-2 y after CHIKV was introduced?,Ae. albopictus
how long Ae. aegypti been established in North America?,for over 300 
What is the presence of Ae.albopictus in North America?,"has been in many areas of the US, since 1985, primarily in Florida [32] and since then has expanded its range in the country."
What percentage of newborns were infected from their mother?,50%
What has been some instances of mother to  fetus transmission?,congenital illness and fetal death
What  did the studies reveal regarding transmission from mothers during perinatal period?,"During the 2005-2006 La Reunion Island outbreaks, Ramful et al. discovered that mothers could transmit CHIKV to their progeny during the perinatal period (Day 24 to Day +1) [33, 34] , and it is associated with a high degree of morbidity. By mean Day 4 of life, all of the neonates were symptomatic for CHIKV, exhibiting common CHIKF symptoms."
What is theorized regarding transmission?,motherto-child transmission most likely happens transplacentally shortly before delivery
What did the study report?,neonatal infection associated with intrapartum maternal viremia that progressed to develop encephalitis owing to vertical transmission from infected mothers 
What is a conclusion of this report?, DNA vaccines could play a major role in combating CHIKV
What is a conclusion of this report?,Vaccines are literally a critical component of CHIKV disease control and therefore research in this area is highly encouraged. 
What is the NIAID designation of CHIKV?,as a Category C pathogen alongside the influenza and SARS-CoV viruses 
What are the strengths and advantages of DNA based vaccine?, its ability to induce cross-reactive immune responses against the three distinct phylogenetic groups of CHIKV. Also DNA-based vaccines can be produced more rapidly than protein-based vaccines.
How many facilities were monitored in this study?,two
What percentage of facilities believed they were adequately equipped to handle Ebola virus disease?,25.74%
How many facilities believed they were adequately equipped to handle Ebla virus disease?,26
How many healthcare workers would be willing to continue working during the Ebola virus outbreak?,less than 50%
What does the study suggest would make healthcare workers more willing to care for patients during an Ebola virus outbreak?,"if HCWs are assured or guaranteed that they and or their families would be taken care of in case of death or while taking care of an EVD case,"
What causes avian infectious bronchitis?,infectious bronchitis virus (IBV)
What differentiated the two chicken lines used in this  study?,serum concentration of mannose-binding lectin (MBL)
Which organ was used for the RNA sequencing samples?,spleen
What is needed to elucidate zoonotic emergence?,"A mechanistic understanding of the impact of bats’ virus hosting capacities, including uniquely constitutive immune pathways, on cellular-scale viral dynamics"
What is the conclusion of  this report?," heightened immune responses limit pathogen-induced cellular morbidity, which can facilitate the establishment of rapidly-propagating persistent infections within-host. Rapidly-transmitting viruses that have evolved with bat immune systems will likely cause enhanced virulence following emergence into secondary hosts with immune systems that diverge from those unique to bats."
Why  have bats received attention in recent years?,"for their role as reservoir hosts for emerging viral zoonoses, including rabies and related lyssaviruses, Hendra and Nipah henipaviruses, Ebola and Marburg filoviruses, and SARS coronavirus "
What difference bats demonstrate compared to most non-Chiropteran mammals?,"no obvious disease symptoms upon infection with pathogens that are highly virulent in non-volant mammals (Schountz et al., 2017) but may, instead, support viruses as longterm persistent infections, rather than transient, immunizing pathologies"
What suite of species-specific mechanisms do bats have to limit viral load?,"host receptor sequence incompatibilities for some bat-virus combinations (Ng et al., 2015; Takadate et al., 2020) and constitutive expression of the antiviral cytokine"
How are mammalian cells typically rendered antiviral?," the presence of viral RNA or DNA in the cytoplasm of mammalian cells will induce secretion of type I interferon proteins (IFN-a and IFN-b), which promote expression and translation of interferon-stimulated genes (ISGs) in neighboring cells "
"In non-flying mammals, what what would be elicited by IFN expression upon viral infection?",widespread inflammation and concomitant immunopathology upon viral infection
What do the bats do instead?,bats support unique adaptations to combat inflammation
Why may the bats have this unique adaptation?,to mitigate metabolic damage induced during flight
Why  was the field of virus dynamics developed?,"to describe the mechanistic underpinnings of long-term patterns of steady-state viral load exhibited by patients in chronic phase infections with HIV, who appeared to produce and clear virus at equivalent rates "
How are bats connected to fatal viral diseases?,"bats are natural reservoirs for viruses that have some of the highest fatality rates of any viruses that people acquire from wild animals -including rabies, Ebola and the SARS coronavirus."
What is  an example of anti-viral defense in bats?,some bats have an antiviral immune response called the interferon pathway perpetually switched on
What would be caused by  this hyper-vigilance in most other mammals?, harmful inflammation
How are bats different?,"Bats, however, have adapted anti-inflammatory traits that protect them from such harm, include the loss of certain genes that normally promote inflammation."
What bat species cells were compared?,"-the black flying fox -in which the interferon pathway is always on, and another -the Egyptian fruit bat -in which this pathway is only activated during an infection."
What was the conclusion of the study ?," In both bat species, the strongest antiviral responses were countered by the virus spreading more quickly from cell to cell. This suggests that bat immune defenses may drive the evolution of faster transmitting viruses, and while bats are well protected from the harmful effects of their own prolific viruses, other creatures like humans are not."
What would be the benefit of learning more about bat's defenses and how they  drive virus evolution?,"help scientists develop better ways to predict, prevent or limit the spread of viruses from bats to humans. "
Which cells are IFN-defective and therefore limited in  antiviral capacity?,demonstrate idiosyncratic induced interferon responses upon viral challenge
What cells demonstrate idiosyncratic interferon response?,RoNi/7.1 (Rousettus aegyptiacus) cells
Which cells express constitutive IFN-a?,PaKiT01 (Pteropus alecto) cell
How were  the spread of GFP-expressing virus-infected cells across tissue monolayers tracked via inverted fluorescence microscopy?,Because plaque assays restrict viral transmission neighbor-to-neighbor in two-dimensional cellular space 
How were  the spread of GFP-expressing virus-infected cells tracked?," For each infection trial, we monitored and re-imaged plates for up to 200 hr of observations or until total monolayer destruction, processed resulting images, and generated a time series of the proportion of infectious-cell occupied plate space across the duration of each trial (see Materials and methods). We used generalized additive models to infer the time course of all cell culture replicates and construct the multi-trial dataset to which we eventually fit our mechanistic transmission model for each cell line-virus-specific combinatio"
How was the modeling carried out?,an innovative combination of in vitro experimentation and within-host modeling to explore the impact of unique bat immunity on virus dynamics.
What was the finding in this study?,"that bat cell lines demonstrated a signature of enhanced interferon-mediated immune response, of either constitutive or induced form, which allowed for establishment of rapid within-host, cell-to-cell virus transmission rates "
What supports the results?,"by both data-independent bifurcation analysis of our mean field theoretical model, as well as fitting of this model to viral infection time series established in bat cell culture."
What was additionally demonstrated?,"the antiviral state induced by the interferon pathway protects live cells from mortality in tissue culture, resulting in in vitro epidemics of extended duration that enhance the probability of establishing a long-term persistent infection."
What do  the studies suggest?,that viruses evolved in bat reservoirs possessing enhanced IFN capabilities could achieve more rapid within-host transmission rates without causing pathology to their hosts. Such rapidly-reproducing viruses would likely generate extreme virulence upon spillover to hosts lacking similar immune capacities to bats.
What was the methodology for this study?,"we first developed a novel, within-host, theoretical model elucidating the effects of unique bat immunity, then undertook bifurcation analysis of the model's equilibrium properties under immune absent, induced, and constitutive assumptions. We considered a cell line to be constitutively immune if possessing any number of antiviral cells at disease-free equilibrium but allowed the extent of constitutive immunity to vary across the parameter range for "", the constitutive rate of antiviral acquisition. "
What was demonstrated in deriving the equation for R 0?," invasion threshold is elevated at high values of constitutive antiviral acquisition,"
What is a conclusion of the modeling?,"Constitutive immune processes can thus prohibit pathogen invasion, while induced responses, by definition, can only control infections post-hoc."
What is a conclusion of the study?,"Regardless of mechanism (induced or constitutive), interferon-stimulated antiviral cells appear to play a key role in maintaining longer term or persistent infections by safeguarding susceptible cells from rapid infection and concomitant cell death. "
What do  fits to rVSV-MARV infections on PaKiT01 cells suggest?,"that the constitutive IFN-a expression characteristic of P. alecto cells may represent more of a constitutive immune priming process than a perpetual, functional, antiviral defense."
What do the findings indicate?,enhanced IFN-mediated immune pathways in bat reservoirs may promote elevated within-host virus replication rates prior to cross-species emergence. 
What is presented in this study?,"general methods to study cross-scale viral dynamics, which suggest that within-host persistence is supported by robust antiviral responses characteristic of bat immune processes. "
What is a conclusion of  this study?, Viruses which evolve rapid replication rates under these robust antiviral defenses may pose the greatest hazard for cross-species pathogen emergence into spillover hosts with immune systems that differ from those unique to bats. 
What age group has the highest rate of severe outcomes?,people 85 years and older
How is COVID-19 spread?,person-to-person
How many states in the U.S. have reported cases of COVID-19?,50
"When did the White House launch the ""15 Days to Slow the Spread"" program?",March 16
What should mildly-ill patients do?,isolate at home during their illness
What type of virus is SARS-CoV-2?,betacoronavirus
What viruses are similar to the COVID-19 coronavirus?,MERS-CoV and SARS-CoV.
What are the phases of a pandemic?,"investigation phase, followed by recognition, initiation, and acceleration phases"
At which phase does the peak of the pandemic occur?,at the end of the acceleration phase
People with which medical conditions have a higher rate of severe illness?,People who have serious chronic medical conditions like:Heart diseaseDiabetesLung disease
What kind of test can diagnose COVID-19?,rRT-PCR test
In what species did the COVID-19 virus likely originate?,bats
What risk factors should be considered in addition to clinical symptoms?,Does the patient have recent travel from an affected area?Has the patient been in close contact with someone with COVID-19 or with patients with pneumonia of unknown cause?Does the patient reside in an area where there has been community spread of COVID-19?
What is the acronym SARS-CoV-2?,severe acute respiratory syndrome coronavirus 2 
When was SARS-CoV-2 first identified?,December 2019
Where was SARS-CoV-2 first identified?,"Wuhan, capital of Hubei Province, China"
What factor positively correlates with imported-and-reported cases counts of SARS-CoV-2 infection?,daily air travel volume
What is the doubling time of the COVID-19 pandemic?,≈6 days
When did the first known cases of Middle East respiratory syndrome (MERS) occur?, in 2012 
Where did the first known cases of Middle East respiratory syndrome (MERS) occur?,in Jordan
Where was the the case first to be publicly reported was from ?,"Jeddah, in the Kingdom of Saudi Arabia (KSA)"
In what animals MERS-CoV sequences have been found ?,in a bat and in many dromedary camels (DC).
Where is MERS-CoV is enzootic in DC?,across the Arabian Peninsula and in parts of Africa
What does MERS-COV cause?," mild upper respiratory tract illness in its camel reservoir and sporadic, but relatively rare human infections."
Precisely how does the virus transmit to humans?,remains unknown
What appears to be a requirement for transmission?,close and lengthy exposure
What is a focal point of MERS?,The KSA 
What is MERS mostly known as?,lower respiratory tract (LRT) disease 
