question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update
Full form of Covid-19?,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
What is social distancing and how does it help to minimize COVID-19?,"Social distancing is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure. This does mean meaking changes to your everyday routine to minimize contacts with others, including:   avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others.",,,,,,,,,,
What is COVID-19's definition?,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
How many cases are in the US?,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
where did coronavirus originated and how,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
What is the risk of COVID-19 infection from animals or animal products imported from affected areas?,There is no evidence that any of the animals or animal products authorised for entry into the European Union pose a risk to the health of EU citizens as a result of the presence of COVID-19.. . ,<p>There is no evidence that any of the animals or animal products authorised for entry into the European Union pose a risk to the health of EU citizens as a result of the presence of COVID-19.</p>,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers,Q & A on COVID-46,European Centre for Disease Prevention and Control (ECDC),COVID-19 and animals and food products,EU,,,en,3/18/20
how long is coronavirus epidemic expected to last,"It depends, and is often decided on a case-by-case basis. The CDC guidance currently says it is okay to release someone from isolation if they have met the following requirements:  * The individual has no more fever without use of fever-reducing medications  * The individual no longer showing symptoms like the cough * The individual has tested negative on at least two tests that have been collected at least 24 hours apart",,,,,,,,,,
what is COVID 19,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
what is covid-2019,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
How do I know if I am following the rules of social distancing correctly,"Social distancing is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure. This does mean meaking changes to your everyday routine to minimize contacts with others, including:   avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others.",,,,,,,,,,
is coronavirus heat resistant,"We do not know. Some viruses, like the common cold or flu, spread more during the cold weather months but people still become sick in warmer months with them. There is still a lot to learn about how weather and temperature impact spread of COVID-19.",,,,,,,,,,
"If you have been released from isolation, will you still be able to spread COVID-19 to others?","Once a person has been released from isolation, they are not considered to pose a risk to others.",,,,,,,,,,
Is take out food really safe during pandemic,"Right now, our current understanding of how COVID-19 spreads is person-to-person through respiratory droplets. We have not seen anything related to spread through food. For the surfaces of frozen foods and other food product packaging - because of the poor survivalbility of the coronaviruses on these surfaces, it is a very low risk of spread. However, it is important to make sure you wash your hands with soap and water for at least 20 seconds to practice general food safety. Please also continue to wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.",,,,,,,,,,
How long will this outbreak last?,"Unfortunately, it is not possible to predict how long the outbreak will last and how the epidemic will unfold. We are dealing with a new virus and therefore a lot of uncertainty remains. For instance, it is not known whether transmission within the EU/EEA will naturally decrease during the northern hemisphere summer, as is observed for seasonal influenza.. ","<p>Unfortunately, it is not possible to predict how long the outbreak will last and how the epidemic will unfold. We are dealing with a new virus and therefore a lot of uncertainty remains. For instance, it is not known whether transmission within the EU/EEA will naturally decrease during the northern hemisphere summer, as is observed for seasonal influenza.</p>",https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers,Q & A on COVID-39,European Centre for Disease Prevention and Control (ECDC),Current Situation in the EU,EU,,,en,3/18/20
"If someone has been exposed to another individual who is positive, after how many days without symptoms can one be sure that he/she has not been also infected?","If you think you have been exposed to COVID19, symptoms tend to develop between 1-14 days since exposure. It is important that during this time, you quarantine yourself so that you don't spread the disease further.   [[Do you want more information on how to quarantine yourself?]]",,,,,,,,,,
What is the risk of my child becoming sick with COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is most at risk for health problems if they have COVID-19 infection on CDC's current Risk Assessment page.","<p>A: Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is most at risk for health problems if they have COVID-19 infection on CDC&rsquo;s current <a href=""https://www.cdc.gov/coronavirus/2019-ncov/summary.html#risk-assessment"">Risk Assessment</a> page.</p>",https://www.cdc.gov/coronavirus/2019-ncov/prepare/children-faq.html,Coronavirus Disease-2019 (COVID-19) and Children,Center for Disease Control and Prevention (CDC),Children,USA,,,en,3/17/20
What happens if there is a sick passenger on an international or domestic flight?,"Under current federal regulations, pilots must report all illnesses and deaths to CDC before arriving to a US destination. According to CDC disease protocols, if a sick traveler is considered to be a public health risk, CDC works with local and state health departments and international public health agencies to contact passengers and crew exposed to that sick traveler.. . Be sure to give the airline your current contact information when booking your ticket so you can be notified if you are exposed to a sick traveler on a flight.. . For more information: Contact Investigation","<p>Under current federal regulations, pilots must report all illnesses and deaths to CDC before arriving to a US destination. According to CDC disease protocols, if a sick traveler is considered to be a public health risk, CDC works with local and state health departments and international public health agencies to <a href=""https://www.cdc.gov/quarantine/contact-investigation.html"">contact passengers and crew</a> exposed to that sick traveler.</p>. <p>Be sure to give the airline your current contact information when booking your ticket so you can be notified if you are exposed to a sick traveler on a flight.</p>. <p>For more information: <a href=""http://www.cdc.gov/quarantine/contact-investigation.html"">Contact Investigation</a></p>",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Travel: Frequently Asked Questions and Answers,Center for Disease Control and Prevention (CDC),Air or Cruise Travel,USA,,,en,3/17/20
What precautions must be taken at large-scale events?,"The cancellation of events and the closure of schools and kindergartens fall within the responsibility of the Federal Laender and/or the local authorities. In the meantime, all the Federal Laender have cancelled events and closed schools and kindergartens. Only in a very few exceptional cases may an event be allowed.. . The Robert Koch Institute has published “General Principles of Risk Assessment and Recommendations for Action with respect to Large-Scale Events” (PDF-File) to support local authorities in deciding on whether to cancel an event.. ","<p>The cancellation <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> events and <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> closure <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> schools and kindergartens fall within <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> responsibility <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> Federal Laender and/or <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> local authorities. In <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> meantime, all <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> Federal Laender have cancelled events and closed schools and kindergartens. Only in a very few exceptional cases may an event be allowed.. </p>. <p>The Robert Koch Institute has published <a href=""https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Risiko_Grossveranstaltungen.pdf"" title=""Externer Link im neuen Fenster"" target=""_blank"">“General Principles <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> Risk Assessment and Recommendations <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> Action with respect to Large-Scale Events”</a> (PDF-File) to support local authorities in deciding on whether to cancel an event.</p>",https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,Frequently asked questions,Bundesministerium für Gesundheit,,Germany,,,en,3/18/20
What is the first symptom of covid,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
how coronavirus is tested,"If you have developed symptoms like fever, cough, and/or difficulty breathing, and you have been in close contact with a person known to have COVID-19, or they have recently traveled to an area with ongoing spread of COVID-19, yes. Stay home and call your health care provider. Older patients and individuals who have severe underlying medical conditions should contact their healthcare providers earlier, even if the illness seems mild. If your symptoms are severe - like you are having persistent pain/pressure in chest, new confusion or inability to arouse, or bluish lips or face, contact healthcare provider or go to the emergency room - it is important to seek care immediately. Your doctor will determine if you have symptoms of COVID-19 and whether you should be tested?",,,,,,,,,,
coronavirus details,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
what is coronavirus all about,"A novel, or new, coronavirus is one that has not been identified before. COVID19 is an example of a novel coronavirus as it has not been seen before.   [[Would you like more information on COVID19?]] COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).",,,,,,,,,,
coronavirus spread through feces,"It can be possible, as people can touch a surface that has the virus on it and then touch their mouth, nose, or eyes... but the current understanding of how COVID-19 spreads is through respiratory droplets.",,,,,,,,,,
Is there a treatment for corona virus,"Most people with mild coronavirus illness will recover on their own. If you are concerend about your symptoms, you should self-monitor and consult your health care provider. They may recommend steps you can take to relieve symptoms. At this time, there is no vaccine for COVID-19 that is authorized to treat or protect against COVID-19. If you have received a flu vaccine, it will not protect against coronaviruses",,,,,,,,,,
What are the symptoms of Covid-19?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
For how long the virus can live without the host,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
how long does coronavirus live on surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
how long does coronavirus stay alive on surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
What type of shopping is safe,"Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. For that reason, it is critical to wash your hands often, including utensils. Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. Anyone handling, preparing and serving food should always follow safe food handling procedures, such as washing hands and surfaces often.",,,,,,,,,,
what city did the coronavirus come from,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
how long does coronavirus last on plastic bags,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
what is coronavirus cdc,"A novel, or new, coronavirus is one that has not been identified before. COVID19 is an example of a novel coronavirus as it has not been seen before.   [[Would you like more information on COVID19?]] COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).",,,,,,,,,,
Can I infect my pet with corona,"While this virus did emerge from an animal source, it is only passing person-to-person currently. Currently, there is no evidence that shows a pet can become sick with COVID-19... but animals can spread disease to people, and people can spread disease to animals. So it is important to always wash your hands before and after interacting with animals.",,,,,,,,,,
Does chloroquine and/or hydroxychloroquine treat COVID-19?,"It is currently unclear - scientists are currently testing it to see if it can be used to treat COVID19. It has shown some promise in a few cases, but needs to be tested among many more people to show that it is actually effective.   [[Why are people bringing up chloroquine and/or hydroxychloroquine?]] Chloroquine and hydroxychloroquine have often been used significantly to eradicate malaria. They have also been given to patients who have arthritis, lupus, and specific types of blood disorders. It has shown some promise in a few cases of COVID-19, which is why people are bringing it up as a potential solution. However, it needs to be studied and tested amongst many more people before it can be approved and used.",,,,,,,,,,
Can my dog get COVID-19 and transmit it to other people?,"There is currently no evidence to suggest that this virus is circulating in animals in Canada.  It is possible that some types of animals can be infected with COVID-19 but there is no evidence that pets or other animals can spread the virus. There are still many unknowns about COVID-19 and this is an area that remains to be studied and understood.  Until we know more, if you have been diagnosed with COVID-19 and have a pet or other animal: avoid close contact with them, do not snuggle or kiss them, or let them lick you, sit on your lap, or sleep in your bed, practice good cough etiquette, avoid coughing and sneezing on your animals, have another member of your household care for your animals (if this is not possible, always wash your hands before touching or feeding them), and limit your animal's contact with other people and animals (this may mean keeping them indoors)  To date, there have not been any reports of livestock being infected by COVID-19 anywhere. However, livestock producers should follow normal biosecurity measures as always. This includes limiting visitors or workers who may have travelled to, or been in contact with, someone from an affected area.",,,,,,,,,,
how long does the coronavirus last outside the body,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
did coronavirus originated in chinese lab,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
what is covid 19 corona virus,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
Do I need to wear mask?,"Masks are only helpful in preventing people who have coronavirus (COVID19) from spreading it to others. If the person is healthy, there is likely no need for them to wear a face mask - as there is little evidence showing that these masks used by healthy people will prevent transmission to public.   If the person is coughing, sneezing, and exhibiting other symptoms of COVID-19, wearing a mask can be recommended. It is also recommended for those who are caring for someone who has or is suspected to have COVID-19. However, masks are only really effective if it is used in combination with frequent hand-washing with soap and water, or with an alcohol-based sanitizer.",,,,,,,,,,
where did the coronavirus first come from,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
how coronavirus is spreading,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
What caused COVID-19? ,"There are many types of coronaviruses. Some only cause illness in people, and some only infect animals. COVID-19 is likely due to an animal coronavirus being able to infect and spread among people. In the past, there was Middle East Respiratory Syndrom (MERS) and Severe Acute Respiratory (SARS) which are both coronaviruses that came from animals and spread among people.   [[Would you like more information on MERs?]] MERs is Middle East Respiratory Syndrome. It is also caused by coronavirus, similar to COVID-19. This virus was first reported in 2012 in Saudi Arabia. Their symptoms are severe acute respiratory illness which includes fever, cough, and shortness of breath. The virus does not pass easily person-to-person unless there is close contact, which includes providing unprotected care to a patient.  [[Would you like more information?]] SARS is Severe Acute Respiratory Syndrome. It was identified in 2003. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents.",,,,,,,,,,
Where to get tested,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
Can someone who has been quarantined for COVID-19 spread the illness to others?,"Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure, because 14 days is the longest incubation period seen for similar coronaviruses. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period.","<p>Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure, because 14 days is the longest incubation period seen for similar coronaviruses. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period.</p>. </div></div></div>",. https://www.cdc.gov/coronavirus/2019-ncov/faq.html,Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,3/17/20
What is novel (new) coronavirus?,"A novel, or new, coronavirus is one that has not been identified before. COVID19 is an example of a novel coronavirus as it has not been seen before.   [[Would you like more information on COVID19?]] COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).",,,,,,,,,,
how long will coronavirus last on paper,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
What are the symptoms of covid-19?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
Do I have covid 19,"If you have developed symptoms like fever, cough, and/or difficulty breathing, and you have been in close contact with a person known to have COVID-19, or they have recently traveled to an area with ongoing spread of COVID-19, yes. Stay home and call your health care provider. Older patients and individuals who have severe underlying medical conditions should contact their healthcare providers earlier, even if the illness seems mild. If your symptoms are severe - like you are having persistent pain/pressure in chest, new confusion or inability to arouse, or bluish lips or face, contact healthcare provider or go to the emergency room - it is important to seek care immediately. Your doctor will determine if you have symptoms of COVID-19 and whether you should be tested?",,,,,,,,,,
how can one fight the virus ,"The best way to prevent illness from COVID-19 is to avoid being exposed to the virus and use good hand hygiene. Common sense precautions that prevent the spread of flu will also help prevent the spread of COVID-19. Please do the following: Stay home if you are sick. Avoid close contact with people who are sick. Cover cough and sneeze. Avoid touching your eyes, nose, and mouth. Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom, before eating and after blowing your nose, coughing or sneezing. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty. The Centers for Disease Control and Prevention (CDC) does not recommend that people who are well to wear a facemask to protect themselves from respiratory diseases, including COVID-19. Facemasks should only be worn by persons who are sick or persons caring for them. Clean and disinfect frequently touched objects and hard surfaces using a regular household cleaning spray or wipe.",,,,,,,,,,
how to protect myself from it ,"The best way to prevent illness from COVID-19 is to avoid being exposed to the virus and use good hand hygiene. Common sense precautions that prevent the spread of flu will also help prevent the spread of COVID-19. Please do the following: Stay home if you are sick. Avoid close contact with people who are sick. Cover cough and sneeze. Avoid touching your eyes, nose, and mouth. Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom, before eating and after blowing your nose, coughing or sneezing. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty. The Centers for Disease Control and Prevention (CDC) does not recommend that people who are well to wear a facemask to protect themselves from respiratory diseases, including COVID-19. Facemasks should only be worn by persons who are sick or persons caring for them. Clean and disinfect frequently touched objects and hard surfaces using a regular household cleaning spray or wipe.",,,,,,,,,,
what are the symptoms of COVID-19?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
Is it safe to order food during the COVID 19 pandemic,There is currently no evidence to suggest that food is a likely source or route of transmission of the virus. Scientists and food safety authorities across the world are closely monitoring the spread of COVID-19.,,,,,,,,,,
About COVID 19,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
what is coronavirus infection,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
how many death in italy,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
