group,chat_input,chat_response,chat_bot_type
qa,"It has been thinking for a while now, so i will ask another question if thats alright. How can we end the pandemic","the Director-General of WHO declared the spate of infections cuased by SARS-CoV-2 (COVID-19) a pandemic.. . This declaration of a pandemic by WHO has no direct impact on the preparation and measures being conducted in Germany. Germany has taken the situation very seriously from the outset and also conducted the same measures that WHO is now emphasising once again. These are:. . Inform the population on the risks posed by the disease. . Inform the population on how each individual can protect him/herself and appeal to everyone to do so. . Do everything to find, isolate, test and treat every case, as well as locate every contact person, so as to prevent further spread of the disease",qa
qa,Do masks work to prevent infection,"Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work",qa
qa,does wearing a mask help to prevent infections,there is little evidence showing that these masks used by healthy people will prevent transmission to public,qa
qa,How is covid compared to swine flu or sars,a new coronavirus that we have not seen previously,qa
qa,can someone get Covid19 for the second time,call your state or local health department or a medical provider,qa
qa,Which city is doing the best in regards to infections,Wuhan City,qa
qa,How many people have been infected in Canada,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveller",qa
qa,What is IPC,guidance available for people who have or think they may have COVID-19,qa
qa,What is the best way to avoid getting infected.,use an alcohol based hand sanitizer that has at least 60% alcohol.,qa
qa,Can the Covid19 survive under the heat,COVID19 is a novel coronavirus that has been recently identified,qa
qa,How can I catch it,about 1 in every 5 people who catch it need hospital care,qa
qa,Is it infectious,whether infectious virus is present in extrapulmonary specimens is currently unknown,qa
qa,Why should I wear a mask,if a healthcare professional recommends it,qa
qa,How far should I stay away from people,"stock up on supplies; take everyday precautions to keep space between yourself and others; when you go out in public, keep away from others who are sick; limit close contact and wash your hands often; and avoid crowds, cruise travel, and non-essential travel.",qa
qa,Where did Covid 19 orginate,it is only passing person-to-person currently,qa
qa,What is a symptom of Covid 19,"the quarantine period is 14 days, or two weeks, from date of possible exposure. It is 14 days because that is what the period of time has been for other coronaviruses.   Currently, someone who has been released from quarantine is not at risk of spreading it to others because they did not develop COVID-19 during that period",qa
qa,Sounds good.,wash your hands frequently and thoroughly,qa
qa,How is Covid transmitted,respiratory droplets,qa
qa,How do I be safe during this pandemic,"as long as you are not sick and contagious. Donated blood is always needed, so if you are well and eligible, please consider donating. Blood centers, like the Red Cross, are being given guidance by CDC on how to keep donors and staff safe during this process",qa
qa,Should I wear a mask,only wear a face mask if a healthcare professional recommends it,qa
qa,What is a symptom,"What it means is to stay at home as much as possible, and limit your outside exposure",qa
qa,Is giving blood a good idea,"as long as you are not sick and contagious. Donated blood is always needed, so if you are well and eligible, please consider donating",qa
qa,What should I do if I get COVID-19,CDC's website about what to do if you get sick,qa
qa,How long do people quarantine for,at least 14 days,qa
qa,When will there be a vaccine for COVID-19,"At this time, there is no vaccine",qa
qa,Who is most prone to COVID-19,"where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there.. . For most people in most locations the risk of catching COVID-19 is still low",qa
qa,How deadly is COVID-19,SARS was more deadly but much less infectious than COVID-19,qa
qa,Symptom of Covid 19,"The amount of virus released from the body (shed) in stool, how long the virus is shed, and whether the virus in stool is infectious are not known",qa
qa,How is Covid transmitted,respiratory droplets,qa
qa,Where did Covid orginate from,"an animal source, it is only passing person-to-person currently",qa
qa,Does everyone get symptoms,"this is a recommended practice and does not mean that if you maintain a six foot difference from everyone, you will not get the virus",qa
qa,Completed,"I'm sorry, but I don't seem to have a solid answer for that.. :(",qa
qa,Hello! What is IPC,CDC's website,qa
qa,Where did this strand of Coronavirus originate from,"an animal source, it is only passing person-to-person currently",qa
qa,Was China the cause of the outbreak,China's WHO country office was informed of a cluster of patients with pneumonia of unknown cause,qa
qa,Which animals were said to have been the source of Coronavirus,COVID-19 is likely due to an animal coronavirus being able to infect and spread among people,qa
qa,Why is it called COVID-19,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
qa,What is coronavirus,CDC's website,qa
qa,How do I know I have coronavirus,There is still a lot to learn about how weather and temperature impact spread,qa
qa,Is there any cure for coronavirus,there is no evidence that current medicine can prevent or cure the disease,qa
qa,What are the symptoms of coronavirus,"a type of virus - there are many kinds, and some of them can cause disease",qa
qa,how can I prevent contacting coronavirus,call their health care provider before seeking care,qa
qa,Where di COVID-19 comefrom,risk depends on where you  are,qa
qa,How old is the average person who dies from COVID,"it is currently estimated that, on average, one infected person will infect between two and three more",qa
qa,WHat is the treatment,"Treatment of the infection depends on the severity of the disease presentation (e.g administering oxygen, maintaining fluid balance, if necessary administering antibiotics to combat bacterial co-infections) and also includes the treatment of relevant underlying chronic illnesses",qa
qa,When did they find out a new virus had developed,11-Feb,qa
qa,Is there a vaccine,"At this time, there is no vaccine for COVID-19",qa
